,title,usage,Count,Users,Jobs,Salary
0,Java,programming,920,5550123,85206,51888
1,JavaScript,programming,818,5962666,63993,54049
2,C,programming,426,3793768,59919,53184
3,Python,programming,691,2818037,46976,59454
4,SQL,data,324,7179119,219617,56228
5,C++,programming,461,4128238,61098,54049
6,HTML,markup,274,5570873,69531,52980
9,PHP,programming,603,2356101,30349,38916
10,Perl,programming,480,491984,13482,80000
11,MATLAB,programming,359,2661579,32228,43948
12,Ruby,programming,359,357730,11438,80000
13,C#,programming,319,217261,19747,58368
18,R,programming,229,1075613,14173,59454
21,Go,programming,329,525179,6403,75669
22,Scala,programming,390,139471,4525,77832
23,Swift,programming,354,362590,3754,58911
25,COBOL,programming,471,187188,2616,52340
26,Rust,programming,351,302193,141,77530
28,Kotlin,programming,367,130094,5276,55071
30,PowerShell,programming,270,208708,19576,68824
32,Haskell,programming,315,37628,495,67021
33,TypeScript,programming,317,216959,1542,59172
38,Julia,programming,338,81911,85,65228
42,Objective-C,programming,214,12380,4276,64859
43,Clojure,programming,267,44933,469,95000
45,Assembly language,programming,83,26543,1329,55211
46,Erlang,programming,265,27148,308,80077
47,Bash,programming,183,61747,4774,71340
51,Elixir,programming,281,55882,214,80077
53,Dart,programming,271,38325,208,32986
60,VBA,programming,326,3650,511,53825
71,F#,programming,207,4316,0,81037
76,Crystal,programming,237,27065,0,72400
83,Groovy,programming,174,6056,0,75002
94,APL,programming,146,3670,0,75631
